ところ,1507,1507,10188,名詞,副詞的名詞,*,*,ところ,ところ,*
ため,1507,1507,7731,名詞,副詞的名詞,*,*,ため,ため,*
お陰,1507,1507,10182,名詞,副詞的名詞,*,*,お陰,おかげ,*
おかげ,1507,1507,10309,名詞,副詞的名詞,*,*,おかげ,おかげ,*
せい,1507,1507,7158,名詞,副詞的名詞,*,*,せい,せい,*
あまり,1507,1507,10264,名詞,副詞的名詞,*,*,あまり,あまり,*
通り,1507,1507,8948,名詞,副詞的名詞,*,*,通り,とおり,*
とおり,1507,1507,10174,名詞,副詞的名詞,*,*,とおり,とおり,*
様,1507,1507,10488,名詞,副詞的名詞,*,*,様,よう,*
よう,1507,1507,9676,名詞,副詞的名詞,*,*,よう,よう,*
代わり,1507,1507,9694,名詞,副詞的名詞,*,*,代わり,かわり,*
代り,1507,1507,8975,名詞,副詞的名詞,*,*,代り,かわり,*
かわり,1507,1507,9927,名詞,副詞的名詞,*,*,かわり,かわり,*
他,1507,1507,10774,名詞,副詞的名詞,*,*,他,ほか,*
ほか,1507,1507,10814,名詞,副詞的名詞,*,*,ほか,ほか,*
ついで,1507,1507,10506,名詞,副詞的名詞,*,*,ついで,ついで,*
まま,1507,1507,11049,名詞,副詞的名詞,*,*,まま,まま,*
時,1507,1507,8026,名詞,副詞的名詞,*,*,時,とき,*
とき,1507,1507,7826,名詞,副詞的名詞,*,*,とき,とき,*
折り,1507,1507,9050,名詞,副詞的名詞,*,*,折り,おり,*
おり,1507,1507,13432,名詞,副詞的名詞,*,*,おり,おり,*
間,1507,1507,9815,名詞,副詞的名詞,*,*,間,あいだ,*
あいだ,1507,1507,10164,名詞,副詞的名詞,*,*,あいだ,あいだ,*
うち,1507,1507,7583,名詞,副詞的名詞,*,*,うち,うち,*
後,1507,1507,10650,名詞,副詞的名詞,*,*,後,あと,*
あと,1507,1507,10265,名詞,副詞的名詞,*,*,あと,あと,*
のち,1507,1507,11109,名詞,副詞的名詞,*,*,のち,のち,*
前,1507,1507,8507,名詞,副詞的名詞,*,*,前,まえ,*
まえ,1507,1507,10179,名詞,副詞的名詞,*,*,まえ,まえ,*
最中,1507,1507,8957,名詞,副詞的名詞,*,*,最中,さいちゅう,*
さいちゅう,1507,1507,10182,名詞,副詞的名詞,*,*,さいちゅう,さいちゅう,*
さなか,1507,1507,9832,名詞,副詞的名詞,*,*,さなか,さなか,*
際,1507,1507,10876,名詞,副詞的名詞,*,*,際,さい,*
さい,1507,1507,10249,名詞,副詞的名詞,*,*,さい,さい,*
場合,1507,1507,7726,名詞,副詞的名詞,*,*,場合,ばあい,*
ばあい,1507,1507,10182,名詞,副詞的名詞,*,*,ばあい,ばあい,*
途中,1507,1507,8819,名詞,副詞的名詞,*,*,途中,とちゅう,*
とちゅう,1507,1507,10182,名詞,副詞的名詞,*,*,とちゅう,とちゅう,*
一方,1507,1507,6457,名詞,副詞的名詞,*,*,一方,いっぽう,*
いっぽう,1507,1507,10182,名詞,副詞的名詞,*,*,いっぽう,いっぽう,*
結果,1507,1507,8606,名詞,副詞的名詞,*,*,結果,けっか,*
けっか,1507,1507,10182,名詞,副詞的名詞,*,*,けっか,けっか,*
反面,1507,1507,9026,名詞,副詞的名詞,*,*,反面,はんめん,*
はんめん,1507,1507,10182,名詞,副詞的名詞,*,*,はんめん,はんめん,*
半面,1507,1507,10881,名詞,副詞的名詞,*,*,半面,はんめん,*
限り,1507,1507,9507,名詞,副詞的名詞,*,*,限り,かぎり,*
かぎり,1507,1507,10120,名詞,副詞的名詞,*,*,かぎり,かぎり,*
方,1507,1507,13023,名詞,副詞的名詞,*,*,方,ほう,*
ほう,1507,1507,9944,名詞,副詞的名詞,*,*,ほう,ほう,*
くせ,1507,1507,10342,名詞,副詞的名詞,*,*,くせ,くせ,*
程度,1507,1507,8847,名詞,副詞的名詞,*,*,程度,ていど,*
ていど,1507,1507,10182,名詞,副詞的名詞,*,*,ていど,ていど,*
以外,1507,1507,10411,名詞,副詞的名詞,*,*,以外,いがい,*
いがい,1507,1507,10182,名詞,副詞的名詞,*,*,いがい,いがい,*
頃,1507,1507,9110,名詞,副詞的名詞,*,*,頃,ころ,*
ころ,1507,1507,10800,名詞,副詞的名詞,*,*,ころ,ころ,*
程,1507,1507,9598,名詞,副詞的名詞,*,*,程,ほど,*
ほど,1507,1507,8374,名詞,副詞的名詞,*,*,ほど,ほど,*
上,1507,1507,10230,名詞,副詞的名詞,*,*,上,うえ,*
うえ,1507,1507,8864,名詞,副詞的名詞,*,*,うえ,うえ,*
毎,1507,1507,9243,名詞,副詞的名詞,*,*,毎,ごと,*
ごと,1507,1507,11548,名詞,副詞的名詞,*,*,ごと,ごと,*
故,1507,1507,10447,名詞,副詞的名詞,*,*,故,ゆえ,*
ゆえ,1507,1507,9698,名詞,副詞的名詞,*,*,ゆえ,ゆえ,*
くらい,1507,1507,9789,名詞,副詞的名詞,*,*,くらい,くらい,*
ぐらい,1507,1507,10509,名詞,副詞的名詞,*,*,ぐらい,ぐらい,*
旨,1507,1507,8945,名詞,副詞的名詞,*,*,旨,むね,*
むね,1507,1507,10182,名詞,副詞的名詞,*,*,むね,むね,*
途端,1507,1507,9866,名詞,副詞的名詞,*,*,途端,とたん,*
とたん,1507,1507,10450,名詞,副詞的名詞,*,*,とたん,とたん,*
矢先,1507,1507,9253,名詞,副詞的名詞,*,*,矢先,やさき,*
やさき,1507,1507,10191,名詞,副詞的名詞,*,*,やさき,やさき,*
以上,1507,1507,16146,名詞,副詞的名詞,*,*,以上,いじょう,*
いじょう,1507,1507,10182,名詞,副詞的名詞,*,*,いじょう,いじょう,*
